Date : 2023-10-13 13:00:41
Directory : c:\Users\ahbaz\StudioProjects\kaio
Total : 80 files,  7425 codes, 327 comments, 650 blanks, all 8402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios\RunnerTests                                                                                  |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                       |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                    |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                  |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                            |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                              |         30 |      5,770 |         48 |        356 |      6,174 |
| lib (Files)                                                                                      |          5 |        364 |          3 |         34 |        401 |
| lib\Cuisines                                                                                     |          3 |        218 |          6 |         16 |        240 |
| lib\Culture                                                                                      |          2 |        200 |          2 |         26 |        228 |
| lib\Destinations                                                                                 |          5 |        325 |          6 |         33 |        364 |
| lib\Handicrafts                                                                                  |          1 |         30 |          1 |          6 |         37 |
| lib\Literature                                                                                   |          4 |        237 |          3 |         24 |        264 |
| lib\MainScreens                                                                                  |          5 |      2,034 |         23 |        123 |      2,180 |
| lib\data                                                                                         |          5 |      2,362 |          4 |         94 |      2,460 |
| linux                                                                                            |          6 |        117 |         27 |         44 |        188 |
| linux (Files)                                                                                    |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                    |          3 |         31 |          9 |         17 |         57 |
| macos                                                                                            |          6 |        452 |          5 |         16 |        473 |
| macos\Flutter                                                                                    |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                     |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                             |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                  |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                          |          1 |        343 |          0 |          1 |        344 |
| test                                                                                             |          1 |         14 |         11 |          8 |         33 |
| web                                                                                              |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                          |         11 |        461 |         91 |        148 |        700 |
| windows\flutter                                                                                  |          3 |         34 |          9 |         17 |         60 |
| windows\runner                                                                                   |          8 |        427 |         82 |        131 |        640 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\ahbaz\StudioProjects\kaio\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\ahbaz\StudioProjects\kaio\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\build.gradle                                      | Gradle     |         57 |          5 |         12 |         74 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\google-services.json                              | JSON       |         48 |          0 |          0 |         48 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\ahbaz\StudioProjects\kaio\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\ahbaz\StudioProjects\kaio\android\build.gradle                                          | Gradle     |         28 |          0 |          4 |         32 |
| c:\Users\ahbaz\StudioProjects\kaio\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\ahbaz\StudioProjects\kaio\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\ahbaz\StudioProjects\kaio\android\settings.gradle                                       | Gradle     |          8 |          0 |          4 |         12 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\FlipCarousel.dart                                | Dart       |         25 |          4 |          3 |         32 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\RecipeImage.dart                                 | Dart       |         29 |          1 |          7 |         37 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\recipe.dart                                      | Dart       |        164 |          1 |          6 |        171 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\Gallery.dart                                      | Dart       |        116 |          1 |         17 |        134 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\carouselpage.dart                                 | Dart       |         84 |          1 |          9 |         94 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Container.dart                               | Dart       |         20 |          1 |          4 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Features.dart                                | Dart       |         52 |          1 |          8 |         61 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\carouselPage.dart                            | Dart       |         39 |          1 |          7 |         47 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\destinationFeature.dart                      | Dart       |         48 |          2 |          5 |         55 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\desttemplate.dart                            | Dart       |        166 |          1 |          9 |        176 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\craft.dart                                    | Dart       |         30 |          1 |          6 |         37 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookShape.dart                                 | Dart       |         34 |          1 |          5 |         40 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookShape2.dart                                | Dart       |         27 |          1 |          6 |         34 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart                              | Dart       |        158 |          1 |          9 |        168 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Recents.dart                                   | Dart       |         18 |          0 |          4 |         22 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Cuisine.dart                                  | Dart       |        137 |          2 |         20 |        159 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Culture.dart                                  | Dart       |        170 |          4 |         38 |        212 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\destinations.dart                             | Dart       |        201 |          1 |          8 |        210 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\handicrafts.dart                              | Dart       |      1,282 |          8 |         35 |      1,325 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart                               | Dart       |        244 |          8 |         22 |        274 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\SplashScreen.dart                                         | Dart       |         41 |          1 |          7 |         49 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\constants.dart                                            | Dart       |         23 |          0 |          2 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\data\MainScreen.dart                                      | Dart       |         46 |          1 |          4 |         51 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\data\cuisines.dart                                        | Dart       |      1,533 |          1 |         51 |      1,585 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\data\culture.dart                                         | Dart       |        264 |          0 |         11 |        275 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\data\destination.dart                                     | Dart       |        449 |          1 |         22 |        472 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\data\handicrafts.dart                                     | Dart       |         70 |          1 |          6 |         77 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\loginform.dart                                            | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart                                                 | Dart       |         46 |          1 |          8 |         55 |
| c:\Users\ahbaz\StudioProjects\kaio\lib\mainScreen.dart                                           | Dart       |        254 |          1 |         16 |        271 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugins.cmake                         | CMake      |         19 |          0 |          6 |         25 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| c:\Users\ahbaz\StudioProjects\kaio\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         14 |          3 |          4 |         21 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\pubspec.yaml                                                  | YAML       |         88 |         51 |         16 |        155 |
| c:\Users\ahbaz\StudioProjects\kaio\test\widget_test.dart                                         | Dart       |         14 |         11 |          8 |         33 |
| c:\Users\ahbaz\StudioProjects\kaio\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\ahbaz\StudioProjects\kaio\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.cc                | C++        |          9 |          4 |          5 |         18 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugins.cmake                       | CMake      |         20 |          0 |          6 |         26 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\flutter_window.cpp                             | C++        |         48 |          4 |         15 |         67 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\ahbaz\StudioProjects\kaio\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                            |            |      7,425 |        327 |        650 |      8,402 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
