Date : 2023-10-13 13:00:41
Directory : c:\Users\ahbaz\StudioProjects\kaio
Total : 80 files,  7425 codes, 327 comments, 650 blanks, all 8402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         31 |      5,784 |         59 |        364 |      6,207 |
| C++        |         16 |        540 |        118 |        181 |        839 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| JSON       |          5 |        296 |          0 |          4 |        300 |
| Gradle     |          3 |         93 |          5 |         20 |        118 |
| YAML       |          2 |         91 |         74 |         20 |        185 |
| Swift      |          6 |         60 |          7 |         20 |         87 |
| CMake      |          2 |         39 |          0 |         12 |         51 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         80 |      7,425 |        327 |        650 |      8,402 |
| . (Files)                                                                                        |          3 |        101 |         74 |         27 |        202 |
| android                                                                                          |         13 |        208 |         51 |         31 |        290 |
| android (Files)                                                                                  |          3 |         39 |          0 |          9 |         48 |
| android\app                                                                                      |          9 |        164 |         51 |         21 |        236 |
| android\app (Files)                                                                              |          2 |        105 |          5 |         12 |        122 |
| android\app\src                                                                                  |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                             |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                                     |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                         |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                            |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                           |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                              |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                       |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                               |          2 |         13 |          0 |          3 |         16 |
